fecha,Embalse,C2RCC,C2X,C2XC,Medicion
2018-11-01,Tres Torres,,,,
2018-11-01,la Pesga,,,,
2019-06-01,Acebo,,,,
2019-06-01,Aguijon,,,,
2019-06-01,Alcuescar,,,,
2019-06-01,Aldea del Cano,,,,
2019-06-01,Aliseda,,,,
2019-06-01,Alpotrel,,,,
2019-06-01,Arrocerezal,,,,
2019-06-01,Brozas,,,,
2019-06-01,Burguillos del Cerro,,,,
2019-06-01,Cantalgallo,,,,
2019-06-01,Carrascalejo,,,,
2019-06-01,El Santo,,,,
2019-06-01,Garciaz,,,,
2019-06-01,Garganta del Obispo,,,,
2019-06-01,Guadalupe,,,,
2019-06-01,Hervas,,,,
2019-06-01,Jaime Ozores,11.944133758544922,105.32256317138672,105.32256317138672,14.56
2019-06-01,Llerena,,,,
2019-06-01,Los Angeles,,,,
2019-06-01,Los Huertos,,,,
2019-06-01,Madronnera,,,,
2019-06-01,Majadillas,,,,
2019-06-01,Majarrobledo,,,,
2019-06-01,Membrio,,,,
2019-06-01,Navarredonda,,,,
2019-06-01,Navas del Madronno,,,,
2019-06-01,Nogales,,,,
2019-06-01,Palomero,,,,
2019-06-01,Pretura del Molino,,,,
2019-06-01,Ribera del Castanno,,,,
2019-06-01,Rubiales,,,,
2019-06-01,San Marcos,,,,
2019-06-01,Santa Lucia,,,,
2019-06-01,Talavan,3.62959361076355,17.237808227539062,90.00403594970703,3.0
2019-06-01,Tres Torres,,,,
2019-06-01,la Pesga,,,,
2019-11-01,Acebo,,,,
2019-11-01,Aguijon,,,,
2019-11-01,Alcuescar,,,,
2019-11-01,Aldea del Cano,,,,
2019-11-01,Aliseda,,,,
2019-11-01,Alpotrel,,,,
2019-11-01,Arrocerezal,,,,
2019-11-01,Brozas,,,,
2019-11-01,Burguillos del Cerro,,,,
2019-11-01,Cantalgallo,,,,
2019-11-01,Carrascalejo,,,,
2019-11-01,El Santo,,,,
2019-11-01,Garciaz,,,,
2019-11-01,Garganta del Obispo,,,,
2019-11-01,Guadalupe,,,,
2019-11-01,Hervas,,,,
2019-11-01,Jaime Ozores,0.0,0.0,0.0,200.0
2019-11-01,Llerena,,,,
2019-11-01,Los Angeles,,,,
2019-11-01,Los Huertos,,,,
2019-11-01,Madronnera,,,,
2019-11-01,Majadillas,,,,
2019-11-01,Majarrobledo,,,,
2019-11-01,Membrio,,,,
2019-11-01,Navarredonda,,,,
2019-11-01,Navas del Madronno,,,,
2019-11-01,Nogales,,,,
2019-11-01,Palomero,,,,
2019-11-01,Pretura del Molino,,,,
2019-11-01,Ribera del Castanno,,,,
2019-11-01,Rubiales,,,,
2019-11-01,San Marcos,,,,
2019-11-01,Santa Lucia,,,,
2019-11-01,Talavan,8.905449867248535,153.6947021484375,158.06480407714844,10.0
2019-11-01,Tres Torres,,,,
2019-11-01,la Pesga,,,,
2020-06-01,Acebo,,,,
2020-06-01,Aguijon,,,,
2020-06-01,Alcuescar,,,,
2020-06-01,Aldea del Cano,,,,
2020-06-01,Aliseda,,,,
2020-06-01,Alpotrel,,,,
2020-06-01,Arrocerezal,,,,
2020-06-01,Brozas,,,,
2020-06-01,Burguillos del Cerro,,,,
2020-06-01,Cantalgallo,,,,
2020-06-01,Carrascalejo,,,,
2020-06-01,El Santo,,,,
2020-06-01,Garciaz,,,,
2020-06-01,Garganta del Obispo,,,,
2020-06-01,Guadalupe,,,,
2020-06-01,Hervas,,,,
2020-06-01,Jaime Ozores,,,,
2020-06-01,Llerena,,,,
2020-06-01,Los Angeles,,,,
2020-06-01,Los Huertos,,,,
2020-06-01,Madronnera,,,,
2020-06-01,Majadillas,,,,
2020-06-01,Majarrobledo,,,,
2020-06-01,Membrio,,,,
2020-06-01,Navarredonda,,,,
2020-06-01,Navas del Madronno,,,,
2020-06-01,Nogales,,,,
2020-06-01,Palomero,,,,
2020-06-01,Pretura del Molino,,,,
2020-06-01,Ribera del Castanno,,,,
2020-06-01,Rubiales,,,,
